"SL No.","Supplier ID","Supplier/Company Name","User Name",Mobile,Due
1,1,"Arla Food ",Amin,0125,-1000
2,2,"Lalmai Group",saiful,01712155,0
3,4,"Local Company",Local_Company,,0
4,5,"Trading Product",Office,0125,0
5,6,"Newzeland Dairy",Newzeland,01712155,0
6,7,"Towficq Trading Corporation",Towficq_Trading_Corporation,,0
7,9,"Meghna Group",Megna,01712155,0
8,14,"Kamal Trading Corporation",Kamal_Trading_Corporation,,0
9,15,"Towfiq Trading Corporation",Towfiq_Trading_Corporation,,0
10,22,Komdam,komdam,018,0
11,23,"Gsk Bd Ltd",Jahangir,0987,0
