"SL No.","UPC Code","Item Name","Category Name","Last Purchase Price","Last Sale Price","Company Name","Stock Quantity","Total Quantity"
1,11804157700000,Airfreshner-325ml,"Air Freshners",155,155,,3,3
2,11804157680000,"Air Freshner-300ml","Air Freshners",170,170,"Kallol Group of Industries",8,8
3,11804157690000,"Air Freshner-300ml(02)","Air Freshners",158,158,"Square Toiletries Ltd",1,1
4,11804157670000,"Air Freshner -300ml","Air Freshners",142,142,ACI,0,0
5,11804157750000,"Coconut Broom","Cleaning Accessories",20,20,Local,5,5
6,11804157740000,"Clorox - 200ml","Floor Cleaner",200,200,Local,2,2
7,11804157760000,"Coffe Mate","Pantry Items",210,210,Nestle,8,8
8,11804157640000,Aerosol-350ml,"Pest Control",,,ACI,0,0
9,11804157660000,Aerosol-750ml,"Pest Control",0,0,ACI,0,0
10,11804157710000,Baygon,"Pest Control",295,295,China,1,1
11,11804157720000,"Canderal -300 Tablet","Sugar Substitute",249,249,"Merisant Group",25,25
12,11804157730000,"Canderal -75gm","Sugar Substitute",220,220,"Merisant Group",5,5
